speaker_age,birth_year,Name,VoxCeleb_ID,video_id
44.0,1969.0,David_Boreanaz,id02022,Ahk1sThoa0c
67.0,1945.0,Ibrahim_Boubacar_Keïta,id03530,ndYJV-_3wT0
57.0,1955.0,Lena_Adelsohn_Liljeroth,id05103,grAhHj9q1K8
57.0,1959.0,Marisol_Touraine,id05666,BtjJl0sUac8
45.0,1972.0,Paul_Dickov,id06839,dVV1uvOhAn8
54.0,1962.0,Giovanna_Melandri,id03123,ijV_oiGF7BE
48.0,1962.0,Terence_Blanchard,id08455,B17aUxhn8IE
52.0,1964.0,Duff_McKagan,id02306,CYhd7a3pXqs
33.0,1980.0,Channing_Tatum,id01509,p-2RkcS71bk
34.0,1978.0,Jamie_Carragher,id03778,xACuYngHIzU
46.0,1970.0,Alysia_Reiner,id00372,2g1hh5kC8Wo
36.0,1976.0,Rhona_Mitra,id07308,NjhS0gUlqmM
45.0,1971.0,Donatella_Arpaia,id02271,HxvLowkGgeU
42.0,1973.0,Natalie_Brown,id06379,S3T7fn9-QAg
25.0,1988.0,Analeigh_Tipton,id00458,1U9WWif8ddc
29.0,1984.0,Ivory_Latta,id03656,dxFzt4FjHig
56.0,1956.0,Deval_Patrick,id02157,FNpImZmnP48
38.0,1977.0,Tom_Hardy,id08608,qRttQ-PP5-8
30.0,1979.0,Pete_Doherty,id06935,WttuMw1Lj54
49.0,1967.0,Joely_Fisher,id04174,bg5X-YdiT9E
17.0,1995.0,Caroline_Sunshine,id01425,_m8h-A-rrP0
43.0,1970.0,Detlef_Soost,id02155,ojwp8J78khQ
38.0,1975.0,Tiger_Woods,id08552,WyXg10aD0mI
48.0,1967.0,Bo_Pelini,id01095,O3yxlrUS4LM
41.0,1974.0,Leonardo_DiCaprio,id05124,qRttQ-PP5-8
52.0,1959.0,Fred_Couples,id02896,7PhKcSFjtXM
69.0,1946.0,Frank_Beamer,id02869,MuiJ4klsKdI
60.0,1955.0,Roberto_Maroni,id07446,yPSnABknjlY
45.0,1963.0,Gamal_Mubarak,id02959,TkRFNF2za6g
40.0,1973.0,Radha_Mitchell,id07135,kc_hPLft8c8
36.0,1978.0,Shane_Battier,id07958,WPT3oSfkzfY
43.0,1973.0,Xavier_Bettel,id09049,O2DWjBBML0o
44.0,1964.0,Jodi_Applegate,id04149,G3eIrKheuy4
45.0,1970.0,Peta_Wilson,id06932,H8Td0wW-GDM
31.0,1984.0,Leïla_Bekhti,id05154,ds_8qbFkviY
37.0,1976.0,Lynn_Chen,id05371,OEq4PhihDys
32.0,1979.0,Sophie_Ellis-Bextor,id08171,K5rUoHG1lWQ
53.0,1963.0,Vladimir_Petković,id08942,KEg9bGD4Kl4
28.0,1987.0,Fabio_Fognini,id02703,hV5mOj3nWkc
21.0,1989.0,Chelsie_Hightower,id01561,eOf4-onAyic
32.0,1978.0,Igor_Rakočević,id03546,AXATVSizGFE
28.0,1988.0,Adam_Lallana,id00055,XzCF6sJ8Axc
26.0,1987.0,Victor_Ortiz,id08868,H2AZVmddxGE
44.0,1972.0,Zinedine_Zidane,id09179,TY8kMus6dpw
36.0,1977.0,Birgit_Minichmayr,id01071,OFvhRkQ__io
60.0,1953.0,Lynn_Whitfield,id05372,wkfrft1tBO8
28.0,1986.0,Ella_Masar,id02471,tXRk5FArmKo
38.0,1976.0,Claudia_Llosa,id01725,G1pSLr34upU
40.0,1977.0,Udhayanidhi_Stalin,id08739,BZfCw62pZU8
22.0,1990.0,Mona_Barthel,id06227,_Fy7FQ-bjRY
54.0,1962.0,Julio_César_Chávez,id04459,bazCdFyTizI
63.0,1953.0,Roland_Jahn,id07500,7fwuS8Xh27U
54.0,1959.0,Rupert_Everett,id07616,zvO76wL_dIM
41.0,1972.0,Melissa_Auf_der_Maur,id05944,sS-P3F_8xB8
38.0,1979.0,Metta_World_Peace,id05977,ver_29j8ujo
37.0,1978.0,DJ_Qualls,id01862,gTk2kbT7DqE
42.0,1971.0,Ricardo_Antonio_Chavira,id07312,OOsZEkkj3qU
32.0,1984.0,J._J._Redick,id03668,6DGKT6uj6A0
43.0,1968.0,Jason_Donovan,id03864,uaC3hK3Ehs0
24.0,1987.0,Jeanette_Ottesen,id03941,uc9EmdlDQ9I
47.0,1966.0,Rachel_Bolan,id07122,QvqEvKNuaWw
36.0,1975.0,Queen_Ifrica,id07098,rm40FVlDRGI
41.0,1975.0,KT_Tunstall,id04518,wRi0VhleyH0
19.0,1996.0,Stefanie_Scott,id08204,NFJ_QPCGBpA
69.0,1945.0,Kate_Adie,id04613,1de4hhMjoBs
28.0,1982.0,Cassidy_Freeman,id01450,oSXzrnb8uFM
45.0,1965.0,Ricky_Paull_Goldin,id07366,depOeUp18kY
40.0,1977.0,Irina_Voronina,id03605,GpV9nR_aZIM
65.0,1951.0,François_Bayrou,id02889,v4qMj8v_ju0
47.0,1967.0,Adewale_Akinnuoye-Agbaje,id00076,HSNZfS4VLJ0
27.0,1986.0,Alysia_Montaño,id00371,YcYNsMmUQgA
44.0,1973.0,Max_Herre,id05874,kgy3OzxjYhk
50.0,1966.0,William_Ruto,id09016,p3sqOYzhNGc
